,X Coordinate,Y Coordinate,Young's Modulus [Pa]
1153,-3703.323822788864,455.68087012257047,1808.43
1154,-3703.315690050388,459.4951244676768,1902.49
1155,-3703.31162368115,463.3053124435455,716.223
1156,-3703.303490942674,467.1195667886518,1030.22
1157,-3703.2994245734367,470.92975476452057,4607.19
1158,-3703.291291834961,474.74400910962686,7627.45
1159,-3703.287225465723,478.5541970854956,2407.89
1160,-3703.279092727247,482.3684514306019,1108.78
1161,-3703.270959988772,486.17863940647067,1618.94
1162,-3703.266893619534,489.99289375157696,429.419
1183,-3703.136769803923,570.0475049371958,1496.89
1184,-3699.5177011822334,451.8625494082262,1994.93
1185,-3699.509568443757,455.6768037533329,705.35
1186,-3699.50550207452,459.4869917292013,3102.99
1187,-3699.497369336044,463.3012460743075,1496.18
1189,-3699.4851702283295,470.9256883952826,5386.6
1190,-3699.481103859093,474.7358763711513,2976.51
1191,-3699.472971120616,478.5501307162576,850.823
1192,-3699.464838382141,482.3603186921264,2140.15
1193,-3699.460772012904,486.1745730372327,890.681
1194,-3699.4526392744274,489.984761013101,937.805
1195,-3699.448572905189,493.7990153582077,667.987
1209,-3699.3631791511934,547.1701116050326,2291.48
1210,-3699.3550464127193,550.9802995809014,255.477
1215,-3699.3265818280543,570.0434385679578,1720.26
1216,-3695.703446837127,451.8584830389882,4975.91
1217,-3695.6993804678887,455.66867101485695,913.997
1218,-3695.691247729413,459.4829253599637,1694.5
1219,-3695.687181360176,463.293113335832,1073.55
1220,-3695.6790486217,467.1073676809383,789.621
1221,-3695.6749822524616,470.9175556568071,2465.95
1222,-3695.666849513986,474.73181000191335,1155.28
1223,-3695.662783144748,478.5419979777821,3128.06
1224,-3695.6546504062726,482.3562523228884,6034.15
1225,-3695.6465176677966,486.1664402987572,1255.7
1226,-3695.642451298559,489.9806946438634,2283.38
1227,-3695.634318560084,493.79088261973175,4775.83
1247,-3695.512327482948,570.0353058294822,2317.88
1248,-3691.893258861258,451.8503503005127,1541.87
1249,-3691.885126122783,455.66460464561897,1551.12
1250,-3691.881059753545,459.4747926214877,3814.11
1251,-3691.872927015069,463.289046966594,2127.76
1252,-3691.868860645831,467.0992349424628,903.587
1253,-3691.8607279073553,470.91348928756906,3163.11
1254,-3691.856661538118,474.72367726343737,1657.5
1255,-3691.848528799642,478.5379316085441,310.637
1256,-3691.840396061166,482.34811958441287,5602.37
1257,-3691.836329691928,486.1623739295192,1407.19
1258,-3691.828196953453,489.97256190538747,1883.86
1259,-3691.824130584215,493.7868162504942,531.622
1260,-3691.815997845739,497.5970042263625,3608.04
1261,-3691.811931476501,501.41125857146926,1988.69
1265,-3691.787533261074,516.6601432134189,5799.56
1279,-3691.702139507079,570.0312394602443,1338.36
1280,-3688.079004516152,451.8462839312747,3010.82
1281,-3688.074938146914,455.6564719071434,6050.5
1282,-3688.066805408438,459.4707262522502,3747.28
1283,-3688.0627390392,463.2809142281185,785.215
1284,-3688.054606300725,467.0951685732248,1668.88
1285,-3688.050539931487,470.9053565490936,651.16
1290,-3688.018008977584,489.96849553614993,1130.11
1291,-3688.009876239108,493.77868351201823,3214.62
1292,-3688.00580986987,497.5929378571245,1046.24
1293,-3687.997677131395,501.40312583299374,967.106
1294,-3687.993610762157,505.2173801781,4355.85
1295,-3687.985478023681,509.02756815396833,1064.31
1297,-3687.973278915968,516.6520104749434,2180.67
1312,-3684.2688165402833,451.8381511927992,3800.26
1313,-3684.2606838018073,455.6524055379055,3797.39
1314,-3684.256617432569,459.4625935137742,1652.46
1315,-3684.248484694094,463.2768478588805,6210.64
1316,-3684.244418324856,467.08703583474926,2858.39
1317,-3684.23628558638,470.9012901798556,1461.01
1323,-3684.19968826324,493.7746171427807,1098.33
1324,-3684.191555524764,497.584805118649,1332.32
1325,-3684.1874891555262,501.39905946375575,991.275
1326,-3684.17935641705,505.2092474396245,3270.87
1327,-3684.175290047812,509.0235017847308,2084.39
1328,-3684.1671573093367,512.8336897605991,2735.37
1329,-3684.163090940099,516.6479441057054,1735.82
1330,-3684.1549582016232,520.4581320815741,4288.57
1342,-3684.081763555342,566.2047860074244,5189.68
1344,-3680.454562195177,451.8340848235612,1353.01
1345,-3680.450495825939,455.6442727994299,2017.28
1346,-3680.442363087463,459.4585271445362,1684.79
1347,-3680.4382967182255,463.2687151204045,3613.17
1348,-3680.4301639797495,467.08296946551127,2123.8
1349,-3680.426097610512,470.89315744138,259.735
1355,-3680.3854339181335,493.7664844043047,1573.17
1356,-3680.381367548896,497.58073874941147,2495.89
1357,-3680.37323481042,501.39092672527977,2062.64
1358,-3680.3691684411815,505.2051810703865,3674.8
1359,-3680.3610357027055,509.0153690462548,2545.88
1360,-3680.356969333469,512.8296233913616,1759.5
1361,-3680.348836594993,516.6398113672299,1942.35
1362,-3680.3447702257545,520.4540657123362,1575.55
1364,-3680.3325711180414,528.0785080333117,390.238
1365,-3680.324438379565,531.88869600918,79.3107
1366,-3680.320372010328,535.7029503542863,50.3519
1367,-3680.312239271852,539.513138330155,3670.99
1370,-3680.295973794901,550.9518349962364,118.202
1371,-3680.287841056424,554.7620229721051,162.195
1372,-3680.283774687187,558.5762773172114,559.068
1376,-3676.644374219308,451.8259520850857,1719.83
1377,-3676.6362414808327,455.640206430192,1925.69
1378,-3676.6321751115943,459.4503944060607,2509.47
1387,-3676.5752459422647,493.7624180350672,3283.37
1388,-3676.5671132037887,497.5726060109355,2671.91
1389,-3676.563046834551,501.3868603560418,1652.67
1390,-3676.554914096075,505.19704833191054,2622.34
1391,-3676.5508477268377,509.0113026770173,1408.53
1392,-3676.5427149883617,512.8214906528856,858.691
1393,-3676.538648619124,516.6357449979919,1036.46
1394,-3676.5305158806486,520.4459329738606,82.585
1408,-3672.830119874202,451.82188571584766,2557.04
1409,-3672.826053504964,455.6320736917164,1191.61
1410,-3672.817920766488,459.4463280368227,1816.64
1417,-3672.773190704872,486.12984297561616,204.35
1419,-3672.7609915971584,493.7542852965912,741.08
1420,-3672.75692522792,497.568539641698,2723.86
1421,-3672.748792489445,501.3787276175663,2623.82
1422,-3672.744726120207,505.19298196267255,877.074
1423,-3672.736593381731,509.0031699385413,2265.56
1424,-3672.732527012493,512.817424283648,1171.8
1425,-3672.7243942740174,516.6276122595164,128.802
1440,-3669.019931898333,451.8137529773721,1564.09
1441,-3669.011799159857,455.6280073224784,180.714
1442,-3669.00773279062,459.4381952983472,3464.77
1443,-3668.999600052144,463.2524496434535,1419.26
1448,-3668.971135467479,482.3115222612719,1057.42
1449,-3668.963002729003,486.12577660637817,1703.3
1450,-3668.954869990527,489.9359645822469,2431.07
1451,-3668.9508036212897,493.75021892735367,3219.28
1452,-3668.942670882814,497.560406903222,1834.38
1453,-3668.938604513576,501.37466124832827,438.155
1455,-3668.926405405862,508.9991035693033,738.982
1456,-3668.918272667386,512.8092915451721,619.236
1457,-3668.914206298149,516.6235458902784,75.7166
1472,-3665.2056775532265,451.8096866081341,3274.93
1473,-3665.201611183989,455.6198745840029,847.703
1475,-3665.1894120762754,463.2443169049775,3145.31
1476,-3665.1812793378,467.0585712500842,1017.21
1479,-3665.165013860848,478.4932015469276,9452.3
1480,-3665.156881122373,482.3074558920344,800.883
1482,-3665.144682014659,489.93189821300894,746.502
1483,-3665.136549276184,493.74208618887815,1339.21
1484,-3665.132482906946,497.5563405339845,3798.13
1485,-3665.124350168469,501.3665285098528,135.556
1487,-3665.112151060756,508.9909708308278,1929.49
1488,-3665.1080846915183,512.8052251759345,1810.27
1504,-3661.395489577358,451.80155386965816,2655.21
1505,-3661.3873568388826,455.6158082147649,1409.61
1506,-3661.3832904696446,459.42599619063367,1116.59
1507,-3661.3751577311687,463.24025053574,3480.71
1508,-3661.371091361931,467.05043851160826,558.109
1509,-3661.362958623456,470.86469285671456,1515.7
1510,-3661.3588922542176,474.67488083258377,680.401
1511,-3661.3507595157416,478.48913517769006,1838.05
1512,-3661.346693146504,482.2993231535584,1359.2
1513,-3661.338560408028,486.1135774986647,3671.3
1514,-3661.3304276695526,489.9237654745334,806.204
1515,-3661.3263613003146,493.73801981964016,3723.71
1516,-3661.318228561839,497.54820779550846,2278.67
1519,-3661.301963084888,508.9869044615898,2174.63
1520,-3661.293830346412,512.7970924374586,394.442
1536,-3657.581235232252,451.79748750042063,579.595
1537,-3657.577168863014,455.6076754762889,6119.27
1538,-3657.569036124538,459.4219298213957,823.785
1539,-3657.564969755301,463.2321177972645,1558.11
1540,-3657.556837016825,467.0463721423707,736.141
1541,-3657.552770647587,470.85656011823903,919.007
1542,-3657.544637909111,474.6708144633453,947.589
1543,-3657.540571539873,478.48100243921454,1031.48
1544,-3657.532438801397,482.2952567843208,3974.41
1545,-3657.524306062922,486.10544476018913,2786.49
1547,-3657.512106955208,493.7298870811642,540.829
1568,-3653.771047256383,451.7893547619447,676.692
1569,-3653.762914517908,455.6036091070509,2851.79
1570,-3653.7588481486696,459.41379708292015,1862.7
1571,-3653.7507154101936,463.2280514280265,1098.49
1572,-3653.746649040956,467.0382394038948,1269.9
1573,-3653.73851630248,470.8524937490015,590.872
1574,-3653.7344499332426,474.6626817248698,928.304
1575,-3653.726317194767,478.47693606997655,2772.59
1576,-3653.722250825529,482.2871240458449,3004.35
1577,-3653.714118087053,486.1013783909516,4988.03
1588,-3653.6449898100095,528.0337779716951,2855.1
1600,-3649.956792911277,451.7852883927071,1465.56
1601,-3649.952726542039,455.5954763685754,164.546
1602,-3649.9445938035633,459.4097307136817,636.608
1603,-3649.940527434325,463.2199186895509,1053.57
1604,-3649.932394695849,467.0341730346572,4654.16
1605,-3649.928328326612,470.8443610105255,5597.87
1606,-3649.920195588136,474.6586153556318,2999.65
1607,-3649.916129218898,478.46880333150057,1964.38
1608,-3649.9079964804223,482.2830576766073,2054.11
1609,-3649.899863741947,486.0932456524756,29.0933
1633,-3646.138472196933,455.5914099993379,1795.35
1634,-3646.134405827695,459.4015979752062,97.8438
1635,-3646.126273089219,463.2158523203129,1841.22
1636,-3646.122206719981,467.0260402961813,1198.98
1637,-3646.1140739815055,470.840294641288,2595.85
1638,-3646.110007612268,474.6504826171563,1033.49
1639,-3646.101874873792,478.4647369622626,762.951
1664,-3642.3323505903018,451.7730892849936,932.191
1665,-3642.328284221064,455.5832772608619,7496.19
1666,-3642.320151482588,459.3975316059682,77.4414
1667,-3642.3160851133503,463.20771958183695,2142.97
1668,-3642.3079523748743,467.0219739269437,1468.51
1669,-3642.3038860056367,470.832161902812,1553.87
1670,-3642.2957532671608,474.6464162479183,1351.15
1697,-3638.5140298759575,455.5792108916244,922.645
1698,-3638.50996350672,459.3893988674927,83.8678
1699,-3638.501830768244,463.20365321259897,124.189
1700,-3638.497764399006,467.0138411884677,3709.3
1701,-3638.48963166053,470.82809553357447,1354.22
1702,-3638.485565291293,474.6382835094428,1594.37
1725,-3638.343242367968,562.3214033852742,1310.62
1728,-3634.707908269327,451.7608901772801,676.853
1729,-3634.7038419000887,455.5710781531484,521.632
1760,-3630.897720293458,451.75275743880457,9295.4
1761,-3630.8895875549824,455.56701178391086,273.642
1762,-3630.885521185744,459.3771997597792,37.6888
1763,-3630.877388447269,463.1914541048855,474.936
1793,-3627.0793995791137,455.5588790454349,418.257
1794,-3627.071266840638,459.3731333905416,784.531
1795,-3627.0672004714,463.1833213664099,68.2805
1825,-3623.265145234008,455.5548126761973,515.148
1826,-3623.26107886477,459.3650006520657,52.7631
1857,-3619.4549572581386,455.54667993772136,618.424
1858,-3619.446824519663,459.3609342828281,294.469
1859,-3619.442758150425,463.1711222586964,28.5165
1889,-3615.640702913032,455.5426135684834,519.886
1890,-3615.6366365437934,459.3528015443521,48.9478
1903,-3615.555309159037,508.9137098153087,888.514
1920,-3611.8345813064016,451.7242928541391,4074.61
1921,-3611.830514937164,455.5344808300079,293.832
1922,-3611.822382198688,459.3487351751141,43.948
1923,-3611.81831582945,463.1589231509829,107.356
1935,-3611.741054813931,508.9055770768328,182.082
1937,-3611.7288557062175,516.5300193978078,62.6105
1952,-3608.024393330533,451.7161601156636,360.788
1954,-3608.0121942228193,459.3406024366386,71.6245
1973,-3607.8942695149217,531.7748376705199,179.081
1974,-3607.886136776446,535.5850256463887,218.745
1975,-3607.882070407208,539.399279991495,338.504
1976,-3607.8739376687327,543.2094679673637,53.7459
1984,-3604.2101389854265,451.7120937464256,1111.11
1985,-3604.206072616189,455.5222817222944,452.533
1986,-3604.197939877713,459.33653606740063,51.3879
1987,-3604.193873508475,463.1467240432689,201.522
2016,-3600.399951009558,451.70396100795006,1759.43
2017,-3600.3918182710822,455.5182153530564,101.028
2018,-3600.387751901844,459.3284033289251,38.1276
2019,-3600.3796191633687,463.1426576740314,675.757
2051,-3840.502789027846,609.3164326671454,6698.72
2054,-3840.486523550895,620.7551293332267,7456.84
2055,-3840.478390812419,624.5653173090955,7625.73
2059,-3840.453992596992,639.8142019510456,7060.13
2060,-3840.449926227754,643.6284562961519,3901.43
2061,-3840.441793489278,647.4386442720206,8073.49
2068,-3840.4011297969,674.126225580052,4310.33
2072,-3840.376731581473,689.3751102220021,3373.77
2075,-3840.356399735284,700.8097405188455,6685.75
2076,-3840.3523333660455,704.6239948639518,2525.93
2077,-3840.34420062757,708.4341828398206,3241.15
2078,-3840.340134258332,712.2484371849268,1182.09
2079,-3840.332001519857,716.0586251607956,2432.53
2080,-3836.708866528929,597.873669631826,8301.96
2081,-3836.7048001596913,601.6879239769323,2464.46
2083,-3836.692601051978,609.3123662979078,3602.73
2087,-3836.6682028365503,624.5612509398575,2808.21
2088,-3836.660070098075,628.3714389157258,1739.9
2089,-3836.656003728837,632.1856932608325,1399.45
2090,-3836.647870990361,635.9958812367013,2501.99
2091,-3836.6438046211233,639.8101355818076,4602.22
2092,-3836.635671882648,643.6203235576759,2290.53
2093,-3836.63160551341,647.4345779027826,6440.88
2108,-3836.538079020939,704.6158621254763,1544.32
2109,-3836.534012651701,708.430116470583,2693.14
2110,-3836.5258799132257,712.2403044464513,3759.04
2111,-3836.521813543988,716.0545587915576,2542.27
2112,-3832.898678553061,597.869603262588,3916.04
2113,-3832.8905458145846,601.6797912384568,5279.64
2114,-3832.886479445347,605.4940455835631,2779.38
2121,-3832.8417493837305,632.177560522357,249.841
2122,-3832.837683014493,635.9918148674633,9586.99
2123,-3832.829550276017,639.802002843332,2317.42
2124,-3832.82548390678,643.6162571884383,2109.58
2125,-3832.817351168304,647.4264451643066,2394.87
2139,-3832.731957414309,700.797541411132,4875.47
2140,-3832.7278910450714,704.6117957562383,1450.16
2141,-3832.719758306595,708.4219837321066,2653.96
2142,-3832.715691937357,712.2362380772133,2555.7
2143,-3832.7075591988814,716.0464260530821,1292.1
2144,-3829.084424207954,597.8614705241125,3355.66
2145,-3829.080357838716,601.6757248692188,2529.85
2150,-3829.0478268848137,620.7347974870377,3581.02
2155,-3829.0193623001487,639.7979364740941,1463.68
2156,-3829.0112295616727,643.6081244499624,3561.08
2157,-3829.0071631924343,647.4223787950691,3348.34
2158,-3828.999030453959,651.2325667709374,4146.6
2164,-3828.962433130818,674.1058937338626,8815.03
2172,-3828.913636699964,704.6036630177628,2978.57
2173,-3828.909570330727,708.417917362869,3728.17
2174,-3828.90143759225,712.2281053387374,1090.92
2175,-3828.8973712230127,716.0423596838441,1332.96
2188,-3825.201041585804,643.6040580807248,878.333
2189,-3825.192908847329,647.4142460565931,2286.85
2190,-3825.188842478091,651.2285004016994,4122.17
2204,-3825.103448724096,704.5995966485248,1776.22
2205,-3825.09531598562,708.4097846243935,2017.46
2206,-3825.091249616382,712.2240389694998,953.145
2207,-3825.0831168779055,716.0342269453686,1418.42
2221,-3821.38272087146,647.4101796873556,2646.84
2222,-3821.374588132984,651.2203676632239,5830.66
2237,-3821.285128009751,708.4057182551555,7913.54
2238,-3821.276995271276,712.2159062310238,2182.75
2239,-3821.272928902038,716.0301605761306,787.058
2253,-3817.5684665263534,647.4020469488796,5408.69
2254,-3817.5644001571154,651.2163012939859,2605.92
2255,-3817.55626741864,655.0264892698547,3503.6
2268,-3817.47900640312,704.5873975408113,1397.25
2269,-3817.470873664645,708.39758551668,2275.28
2270,-3817.4668072954073,712.2118398617863,2008.26
2271,-3817.4586745569313,716.0220278376546,767.058
2272,-3813.835539566004,597.8370723086855,8015.64
2273,-3813.831473196766,601.6513266537918,4081.55
2284,-3813.762344919722,643.5837262345358,4920.45
2285,-3813.7582785504846,647.3979805796421,6153.98
2286,-3813.750145812009,651.2081685555104,3725.55
2287,-3813.746079442771,655.0224229006167,4407.83
2288,-3813.737946704296,658.8326108764854,7305.84
2289,-3813.7338803350576,662.6468652215922,1908.83
2291,-3813.721681227345,670.2713075425668,6464.64
2301,-3813.660685688777,708.393519147442,993.315
2303,-3813.648486581063,716.0179614684171,1449.97
2304,-3810.025351590136,597.8330059394475,5388.73
2305,-3810.01721885166,601.6431939153158,1523.44
2313,-3809.968422420806,632.140963199216,5844.78
2314,-3809.964356051568,635.9552175443227,6282.99
2315,-3809.956223313092,639.765405520191,5987.19
2316,-3809.952156943854,643.5796598652978,7847.24
2317,-3809.9440242053774,647.3898478411661,7124.63
2318,-3809.939957836141,651.2041021862728,2212.0
2319,-3809.931825097665,655.0142901621412,1968.58
2320,-3809.927758728427,658.8285445072474,5770.84
2321,-3809.9196259899513,662.6387324831162,5411.87
2333,-3809.84643134367,708.3853864089665,271.76
2334,-3809.842364974432,712.1996407540728,4229.51
2335,-3809.8342322359567,716.0098287299411,936.624
2336,-3806.211097245029,597.824873200972,1504.79
2345,-3806.158234444937,632.1368968299785,3926.86
2346,-3806.150101706461,635.9470848058468,6673.12
2348,-3806.137902598748,643.5715271268218,2622.35
2349,-3806.13383622951,647.3857814719286,3703.8
2350,-3806.125703491034,651.1959694477969,2417.46
2351,-3806.121637121796,655.0102237929032,3207.15
2352,-3806.113504383321,658.8204117687719,1069.06
2353,-3806.1094380140826,662.6346661138782,2978.12
2365,-3806.0362433678015,708.3813200397285,703.676
2366,-3806.028110629326,712.1915080155968,865.194
2367,-3806.024044260088,716.0057623607036,819.459
2368,-3802.40090926916,597.820806831734,2180.66
2369,-3802.392776530685,601.6309948076023,5092.92
2381,-3802.3195818844033,647.3776487334526,2367.18
2382,-3802.315515515165,651.1919030785593,2546.32
2383,-3802.30738277669,655.0020910544276,2943.06
2384,-3802.303316407452,658.8163453995339,4957.95
2398,-3802.217922653457,712.1874416463593,2759.87
2399,-3802.209789914981,715.9976296222276,1679.77
2400,-3798.586654924054,597.8126740932585,2092.02
2401,-3798.582588554817,601.6269284383648,5482.84
2405,-3798.558190339389,616.8758130803149,2931.34
2406,-3798.5500576009135,620.6860010561832,6388.09
2410,-3798.5256593854874,635.9348856981333,1095.74
2411,-3798.521593016249,639.7491400432395,9727.79
2413,-3798.509393908535,647.3735823642146,733.752
2414,-3798.501261170059,651.1837703400834,5216.13
2415,-3798.4971948008215,654.9980246851896,3922.52
2416,-3798.4890620623455,658.8082126610584,4915.84
2431,-3798.399601939113,715.99356325299,672.594
2432,-3794.7764669481858,597.8086077240205,9040.89
2433,-3794.76833420971,601.6187956998888,7149.71
